dataset,split,index,gt_present,pred_present_instance,pred_present_area,image_score,max_prob,pred_fg_fraction,pixel_f1,pixel_iou,pixel_precision,pixel_recall
bijie,val,0,1,1,1,1.0,1.0,0.0988006591796875,0.2861582040786743,0.16696885228157043,0.3128957450389862,0.2636304497718811
bijie,val,1,1,1,1,0.993893563747406,0.993893563747406,0.011199951171875,2.213858818489456e-10,2.213858818489456e-10,1.3623978611931875e-09,2.643404661828441e-10
bijie,val,2,1,1,1,1.0,1.0,0.09613037109375,0.6332550048828125,0.46333077549934387,0.5776190757751465,0.700751006603241
bijie,val,3,1,1,1,0.9999984502792358,0.9999984502792358,0.053253173828125,0.8206937313079834,0.69591224193573,1.0,0.69591224193573
bijie,val,4,1,1,1,0.9998658895492554,0.9998658895492554,0.0895233154296875,0.5235673189163208,0.3546164333820343,0.6579171419143677,0.43478259444236755
bijie,val,5,1,1,1,1.0,1.0,0.032958984375,0.7514910697937012,0.6019108295440674,0.875,0.6585366129875183
bijie,val,6,1,1,1,1.0,1.0,0.0960845947265625,0.8348652124404907,0.7165395617485046,0.865491509437561,0.8063322901725769
bijie,val,7,1,1,1,1.0,1.0,0.015625,0.8607214689254761,0.7554969191551208,0.8388671875,0.8837448358535767
bijie,val,8,1,1,1,0.9999998807907104,0.9999998807907104,0.08465576171875,0.8478628993034363,0.7359045147895813,0.7669430375099182,0.9478725790977478
bijie,val,9,1,1,1,0.9999985694885254,0.9999985694885254,0.0308685302734375,0.10219751298427582,0.0538504458963871,0.09540286660194397,0.11003420501947403
bijie,val,10,1,1,1,0.9999858140945435,0.9999858140945435,0.06707763671875,0.01886792480945587,0.009523809887468815,0.010691537521779537,0.08020477741956711
bijie,val,11,1,1,1,0.9999778270721436,0.9999778270721436,0.1422882080078125,0.5789942145347595,0.4074538052082062,0.5580697059631348,0.601548969745636
bijie,val,12,1,1,1,0.9999103546142578,0.9999103546142578,0.0224151611328125,0.840419352054596,0.724761426448822,0.982300877571106,0.7343511581420898
bijie,val,13,1,1,1,0.9999995231628418,0.9999995231628418,0.07586669921875,0.5235209465026855,0.3545738756656647,0.36484313011169434,0.926455557346344
